CVEGEO,Nombre,PM_1995,PM_1996,PM_1997,PM_1998,PM_1999,PM_2000,PM_2001,PM_2002,PM_2003,PM_2004,PM_2005,PM_2006,PM_2007,PM_2008,PM_2009,PM_2010,PM_2011,PM_2012,PM_2013,PM_2014,PM_2015,PM_2016,promedio
20101,San Andrés Zabache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102,San Andrés Zautla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,1753,216,2230,0,945,3535,0,400.272727272727
20103,San Antonino Castillo Velasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20104,San Antonino el Alto,3513,4595,2341,3477,4672,4110,5223,4041,3097,4680,9160,7505,7462,7915,7154,3303,12962,30954,12685,15531,16739,6718,8083.5
20105,San Antonino Monte Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20106,San Antonio Acutla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20107,San Antonio de la Cal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20108,San Antonio Huitepec,0,0,0,293,645,0,4909,7446,1489,4943,1714,1020,742,0,0,2190,0,3016,2328,1780,3396,2434,1742.95454545455
20109,San Antonio Nanahuatípam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110,San Antonio Sinicahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20111,San Antonio Tepetlapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20112,San Baltazar Chichicápam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20113,San Baltazar Loxicha,0,1341,2041,8051,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.863636363636
20114,San Baltazar Yatzachi el Bajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20115,San Bartolo Coyotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20116,San Bartolomé Ayautla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20117,San Bartolomé Loxicha,3584,0,6636,34400,5399,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343.81818181818
20118,San Bartolomé Quialana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20119,San Bartolomé Yucuañe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120,San Bartolomé Zoogocho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20121,San Bartolo Soyaltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122,San Bartolo Yautepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20123,San Bernardo Mixtepec,2034,1024,544,684,486,1178,750,1135,951,826,0,0,566,0,252,0,0,786,1074,901,3481,3660,924.181818181818
20124,San Blas Atempa,0,0,0,0,0,0,0,0,0,59,0,247,0,233,0,0,0,0,0,0,0,0,24.5
20125,San Carlos Yautepec,0,0,1638,0,874,5450,9475,9352,9541,12914,6314,9813,5645,4113,6993,1928,2803,3944,5604,8672,4996,525,5027
20126,San Cristóbal Amatlán,0,0,0,0,3107,3598,2569,0,0,0,0,0,0,0,0,0,0,1006,907,0,0,780,543.954545454546
20127,San Cristóbal Amoltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20128,San Cristóbal Lachirioag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20129,San Cristóbal Suchixtlahuaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130,San Dionisio del Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20131,San Dionisio Ocotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20132,San Dionisio Ocotlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20133,San Esteban Atatlahuca,6746,5627,9423,15272,6055,0,14308,4276,9809,39598,17255,1565,3938,5739,4671,1974,0,10079,12336,24746,7360,11540,9650.77272727273
20134,San Felipe Jalapa de Díaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20135,San Felipe Tejalápam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20136,San Felipe Usila,0,0,0,0,0,0,358,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5909090909091
20137,San Francisco Cahuacuá,3742,3667,5033,2692,0,3083,5191,3692,8069,8229,6435,9594,5608,0,3850,3982,4198,4096,4118,0,9205,7636,4641.81818181818
20138,San Francisco Cajonos,1819,0,2444,2754,150,0,0,52,0,272,0,0,2332,0,4312,0,6805,0,0,2218,0,3246,1200.18181818182
20139,San Francisco Chapulapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140,San Francisco Chindúa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141,San Francisco del Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20142,San Francisco Huehuetlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20143,San Francisco Ixhuatán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20144,San Francisco Jaltepetongo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20145,San Francisco Lachigoló,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20146,San Francisco Logueche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20147,San Francisco Nuxaño,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20148,San Francisco Ozolotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20149,San Francisco Sola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150,San Francisco Telixtlahuaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151,San Francisco Teopan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20152,San Francisco Tlapancingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20153,San Gabriel Mixtepec,7452,10255,12816,20041,3682,286,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486.13636363636
20154,San Ildefonso Amatlán,0,0,0,1014,3485,1125,690,1225,1225,119,492,275,0,0,419,0,0,0,0,1845,0,386,559.090909090909
20155,San Ildefonso Sola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20156,San Ildefonso Villa Alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20157,San Jacinto Amilpas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20158,San Jacinto Tlacotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20159,San Jerónimo Coatlán,29390,26363,25630,117862,111600,74579,26959,21177,21181,16795,10443,8264,5358,15026,17771,17328,17674,18882,16962,17234,19985,15319,29626.4545454545
20160,San Jerónimo Silacayoapilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
